customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,payment_method,shipping_type,discount_applied,promo_code_used,previous_purchases,frequency_of_purchases
24,20,Female,Scarf,Accessories,85.64,Colorado,XS,Yellow,Summer,4.2,No,PayPal,2-Day Shipping,No,No,26,Annually
25,69,Male,Boots,Footwear,178.65,California,S,Yellow,Winter,4.5,No,Debit Card,Free Shipping,No,No,10,Every 3 Months
26,72,Female,Blouse,Clothing,60.04,Massachusetts,L,Yellow,Fall,4.6,No,Debit Card,Standard,No,No,42,Bi-Weekly
27,22,Female,Raincoat,Outerwear,83.21,North Carolina,L,Orange,Fall,4.8,Yes,PayPal,Express,Yes,Yes,16,Weekly
28,64,Female,Skirt,Clothing,98.55,North Carolina,XS,Purple,Summer,3.1,No,Credit Card,2-Day Shipping,No,No,34,Every 3 Months
29,60,Female,Sandals,Footwear,132.17,Washington,XS,White,Fall,4.2,Yes,Bank Transfer,Free Shipping,No,No,35,Bi-Weekly
30,42,Male,Loafers,Footwear,130.79,Illinois,L,Gray,Spring,3.3,Yes,Venmo,2-Day Shipping,No,No,41,Monthly
31,31,Female,Raincoat,Outerwear,162.87,Arizona,S,Orange,Spring,3.2,No,Venmo,Free Shipping,No,No,5,Bi-Weekly
32,27,Male,Gloves,Accessories,28.32,Georgia,XL,Blue,Winter,3.5,No,Debit Card,Store Pickup,No,No,44,Quarterly
33,59,Male,Raincoat,Outerwear,180.68,Massachusetts,XS,Purple,Summer,2.9,No,Venmo,Next Day Air,Yes,Yes,15,Weekly
34,60,Female,Jacket,Outerwear,191.01,Colorado,L,Brown,Winter,4.6,No,Debit Card,Store Pickup,No,No,30,Quarterly
35,35,Female,Gloves,Accessories,132.81,Illinois,L,Blue,Fall,3.1,Yes,Venmo,Standard,No,No,8,Bi-Weekly
36,63,Male,Loafers,Footwear,31.56,Ohio,M,Gray,Winter,3.5,Yes,Cash,Next Day Air,No,No,49,Annually
37,18,Female,Skirt,Clothing,73.75,Ohio,L,Gray,Summer,3.7,Yes,Cash,Standard,No,No,24,Monthly
38,47,Male,Parka,Outerwear,196.53,North Carolina,XS,Purple,Spring,2.7,No,Cash,Express,Yes,Yes,24,Monthly
39,66,Female,Loafers,Footwear,70.09,Massachusetts,L,White,Spring,3.7,No,Credit Card,Free Shipping,Yes,Yes,4,Every 3 Months
40,30,Male,T-Shirt,Clothing,131.84,Florida,S,Pink,Spring,3.9,Yes,Bank Transfer,Free Shipping,No,No,49,Monthly
41,28,Female,Sneakers,Footwear,39.46,California,M,Brown,Winter,3.5,No,Credit Card,2-Day Shipping,No,No,44,Every 3 Months
42,37,Male,Sneakers,Footwear,163.32,Michigan,XS,Yellow,Winter,4.2,Yes,Bank Transfer,Free Shipping,No,No,0,Quarterly
43,41,Female,Jacket,Outerwear,147.32,Ohio,S,Gray,Fall,4.0,No,Cash,Next Day Air,No,No,27,Every 3 Months
44,71,Male,Handbag,Accessories,70.21,Georgia,S,Pink,Winter,3.3,No,PayPal,Express,No,No,31,Bi-Weekly
45,74,Female,Sunglasses,Accessories,120.04,North Carolina,S,Blue,Summer,4.3,No,Debit Card,Store Pickup,Yes,Yes,45,Quarterly
46,32,Female,Jacket,Outerwear,144.52,Illinois,XL,Yellow,Winter,3.9,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,44,Quarterly
47,25,Male,Sunglasses,Accessories,76.8,Oregon,XL,Green,Summer,3.0,No,Bank Transfer,2-Day Shipping,Yes,No,33,Annually
48,36,Male,Belt,Accessories,84.96,Illinois,XS,Gray,Summer,3.2,No,Venmo,Free Shipping,No,No,44,Bi-Weekly
49,54,Female,Jacket,Outerwear,104.49,Georgia,M,Green,Spring,3.1,No,Credit Card,Standard,No,No,25,Quarterly
50,21,Male,Skirt,Clothing,46.86,Michigan,M,Blue,Summer,2.8,No,Venmo,2-Day Shipping,No,No,50,Annually
51,46,Female,Loafers,Footwear,174.83,Ohio,M,Brown,Spring,4.0,No,Debit Card,Store Pickup,No,No,13,Monthly
52,53,Male,Jeans,Clothing,48.18,Ohio,L,Brown,Winter,3.2,Yes,Bank Transfer,Free Shipping,Yes,No,29,Weekly
53,58,Male,Sandals,Footwear,96.53,North Carolina,S,Orange,Summer,4.8,No,Credit Card,Standard,No,No,10,Monthly
54,62,Female,Jewelry,Accessories,145.95,Illinois,XL,Gray,Winter,3.6,No,Cash,Store Pickup,Yes,Yes,16,Weekly
55,71,Male,Shorts,Clothing,199.92,Washington,M,Brown,Spring,4.4,Yes,Venmo,Store Pickup,No,No,28,Monthly
56,49,Male,Loafers,Footwear,104.6,Ohio,M,Yellow,Spring,4.6,Yes,Bank Transfer,Next Day Air,No,No,18,Every 3 Months
57,23,Female,Parka,Outerwear,65.43,Texas,L,Gray,Spring,4.1,No,Cash,Standard,Yes,Yes,23,Annually
58,21,Male,Parka,Outerwear,68.07,New York,M,Pink,Winter,2.8,No,Venmo,Express,No,No,45,Bi-Weekly
59,23,Male,Hat,Accessories,198.61,Colorado,XS,Pink,Spring,4.1,Yes,Bank Transfer,Free Shipping,No,No,32,Every 3 Months
60,48,Male,Backpack,Accessories,102.22,New York,L,Black,Summer,4.7,Yes,Cash,Free Shipping,No,No,50,Annually
61,37,Female,Hat,Accessories,175.75,Georgia,XL,Pink,Fall,3.3,No,Cash,Next Day Air,Yes,No,12,Every 3 Months
62,67,Female,Loafers,Footwear,27.86,Oregon,L,Purple,Winter,5.0,No,Bank Transfer,Express,Yes,Yes,2,Bi-Weekly
63,46,Male,Belt,Accessories,114.67,Georgia,XS,Green,Winter,4.7,No,Credit Card,Next Day Air,No,No,50,Monthly
64,72,Female,Backpack,Accessories,173.42,Massachusetts,XL,Purple,Fall,4.1,No,Cash,2-Day Shipping,No,No,2,Annually
65,36,Male,Shorts,Clothing,154.42,Ohio,XS,Orange,Spring,3.6,No,Credit Card,Standard,No,No,20,Weekly
66,27,Male,Handbag,Accessories,115.61,Michigan,S,Green,Summer,2.7,No,Venmo,Store Pickup,No,No,15,Quarterly
67,34,Female,Boots,Footwear,65.96,California,L,White,Summer,2.7,No,Venmo,Free Shipping,No,No,40,Quarterly
68,30,Female,Jewelry,Accessories,173.6,Texas,S,Purple,Fall,3.9,No,PayPal,Standard,No,No,42,Quarterly
69,61,Male,Hat,Accessories,183.91,Oregon,L,White,Summer,4.0,Yes,Bank Transfer,Express,No,No,39,Monthly
70,59,Male,Sneakers,Footwear,75.61,Georgia,XS,Brown,Fall,4.3,Yes,PayPal,Free Shipping,No,No,47,Quarterly
71,52,Female,Boots,Footwear,115.55,Colorado,M,Green,Fall,4.8,No,PayPal,Store Pickup,Yes,No,7,Quarterly
72,32,Female,Jeans,Clothing,194.11,Arizona,XL,Yellow,Spring,4.5,Yes,Venmo,Standard,No,No,29,Monthly
73,41,Male,Backpack,Accessories,141.47,Georgia,XS,Brown,Fall,4.8,Yes,Credit Card,Store Pickup,No,No,29,Every 3 Months
74,20,Male,Backpack,Accessories,74.79,Georgia,XS,Blue,Summer,4.7,Yes,Cash,Free Shipping,Yes,Yes,47,Every 3 Months
75,27,Female,Parka,Outerwear,137.89,Massachusetts,L,Brown,Winter,4.8,Yes,Bank Transfer,Free Shipping,No,No,13,Quarterly
76,24,Female,Jacket,Outerwear,118.0,Washington,M,Red,Winter,3.2,No,Cash,Standard,No,No,42,Bi-Weekly
77,33,Male,T-Shirt,Clothing,161.66,Florida,XS,Gray,Summer,4.0,No,Debit Card,Free Shipping,No,No,49,Bi-Weekly
78,27,Male,Dress,Clothing,117.24,Arizona,S,Blue,Spring,2.8,Yes,Debit Card,2-Day Shipping,No,No,20,Weekly
79,65,Female,Sandals,Footwear,114.7,Oregon,XS,Pink,Winter,4.4,No,Credit Card,Next Day Air,Yes,Yes,39,Weekly
80,19,Male,Jewelry,Accessories,199.75,Massachusetts,L,Purple,Spring,3.7,No,Credit Card,Standard,No,No,20,Annually
81,57,Female,Sneakers,Footwear,88.56,Michigan,XL,White,Winter,3.8,No,Bank Transfer,Standard,Yes,No,41,Annually
82,32,Female,Loafers,Footwear,81.01,Georgia,L,Purple,Spring,3.3,Yes,PayPal,Free Shipping,No,No,9,Every 3 Months
83,23,Male,Jacket,Outerwear,97.74,Oregon,M,Green,Spring,4.0,No,PayPal,Store Pickup,Yes,Yes,22,Every 3 Months
84,36,Female,Parka,Outerwear,83.3,Michigan,XL,Black,Summer,4.1,Yes,Credit Card,Free Shipping,Yes,No,23,Weekly
85,72,Male,Gloves,Accessories,129.62,Washington,M,Red,Summer,3.2,No,PayPal,Free Shipping,No,No,0,Bi-Weekly
86,65,Male,Loafers,Footwear,36.52,North Carolina,S,Purple,Winter,3.6,Yes,PayPal,Store Pickup,Yes,Yes,36,Annually
87,66,Male,T-Shirt,Clothing,141.31,Illinois,L,Orange,Winter,3.7,No,PayPal,Express,Yes,No,7,Monthly
88,61,Female,Jacket,Outerwear,114.85,Illinois,XS,Black,Winter,5.0,Yes,Debit Card,Free Shipping,Yes,No,49,Bi-Weekly
89,18,Female,Sunglasses,Accessories,154.46,New York,S,Purple,Summer,3.8,No,PayPal,Standard,Yes,Yes,47,Weekly
90,22,Female,Jacket,Outerwear,123.64,Michigan,L,Orange,Winter,3.2,No,PayPal,Express,No,No,39,Quarterly
91,24,Male,Belt,Accessories,98.42,Ohio,XL,Blue,Winter,4.7,No,Debit Card,Free Shipping,No,No,49,Bi-Weekly
92,51,Male,Hoodie,Clothing,183.07,Pennsylvania,M,Orange,Summer,3.1,Yes,Debit Card,Express,No,No,38,Bi-Weekly
93,58,Female,Jeans,Clothing,103.51,Michigan,XL,Pink,Fall,4.7,No,Debit Card,Next Day Air,No,No,4,Quarterly
94,35,Male,Parka,Outerwear,83.35,Texas,M,Pink,Winter,2.6,Yes,PayPal,Standard,Yes,Yes,5,Annually
95,68,Male,Raincoat,Outerwear,100.95,Arizona,XL,Orange,Summer,3.3,No,Debit Card,Standard,No,No,28,Weekly
96,29,Male,Belt,Accessories,64.59,Georgia,L,Gray,Summer,3.4,No,Cash,Next Day Air,No,No,49,Monthly
97,24,Female,Coat,Clothing,71.15,Oregon,XL,Green,Fall,2.7,No,PayPal,Free Shipping,Yes,No,44,Every 3 Months
98,23,Female,Jacket,Outerwear,120.61,Washington,M,Green,Spring,4.1,No,PayPal,Standard,No,No,23,Monthly
99,67,Female,Boots,Footwear,54.56,New York,S,Blue,Fall,4.6,Yes,Venmo,Store Pickup,Yes,No,2,Every 3 Months
100,27,Male,Scarf,Accessories,52.55,Oregon,XL,Green,Winter,2.6,Yes,Bank Transfer,Express,No,No,28,Annually
101,33,Female,Jewelry,Accessories,193.81,Arizona,L,Black,Fall,4.2,No,Cash,Next Day Air,Yes,No,49,Quarterly
102,69,Male,Jacket,Outerwear,177.14,California,L,Yellow,Spring,4.3,No,Credit Card,Free Shipping,No,No,5,Bi-Weekly
103,27,Female,Jewelry,Accessories,36.51,Colorado,S,Pink,Fall,4.8,No,Cash,2-Day Shipping,No,No,23,Bi-Weekly
104,19,Female,Jacket,Outerwear,187.55,Massachusetts,M,Green,Summer,2.6,No,Cash,Store Pickup,No,No,8,Every 3 Months
105,75,Male,Raincoat,Outerwear,23.42,Florida,S,Gray,Winter,2.8,Yes,PayPal,Standard,No,No,3,Bi-Weekly
106,47,Male,Parka,Outerwear,39.95,Colorado,L,Brown,Spring,4.1,No,Bank Transfer,Express,No,No,18,Quarterly
107,54,Female,Skirt,Clothing,53.72,Washington,XS,Gray,Fall,2.7,No,Venmo,2-Day Shipping,No,No,35,Weekly
108,42,Female,Raincoat,Outerwear,65.66,California,M,Blue,Fall,3.1,No,Credit Card,2-Day Shipping,Yes,No,21,Bi-Weekly
109,70,Male,Coat,Clothing,169.47,Washington,L,Pink,Summer,4.5,Yes,Cash,Standard,No,No,18,Bi-Weekly
110,38,Female,Shorts,Clothing,112.77,Massachusetts,XL,Pink,Fall,2.6,No,PayPal,Free Shipping,No,No,49,Weekly
111,41,Female,Sunglasses,Accessories,180.11,Oregon,L,Purple,Fall,4.9,No,Cash,Free Shipping,Yes,No,33,Monthly
112,56,Male,Blouse,Clothing,118.19,Pennsylvania,XS,Blue,Fall,4.2,Yes,Venmo,Store Pickup,Yes,Yes,44,Quarterly
113,73,Female,Jewelry,Accessories,130.67,Ohio,M,Orange,Spring,2.7,No,PayPal,2-Day Shipping,Yes,No,43,Bi-Weekly
114,61,Female,Jeans,Clothing,26.26,Texas,S,Orange,Fall,3.4,No,Credit Card,2-Day Shipping,No,No,9,Every 3 Months
115,66,Male,Raincoat,Outerwear,123.31,North Carolina,M,Purple,Fall,4.1,Yes,Credit Card,Standard,No,No,47,Bi-Weekly
116,53,Male,Parka,Outerwear,67.12,Illinois,L,Black,Fall,4.2,No,Debit Card,Standard,No,No,8,Weekly
117,46,Male,Jacket,Outerwear,165.89,Massachusetts,M,Orange,Fall,4.3,No,PayPal,Free Shipping,No,No,10,Every 3 Months
118,25,Male,Sandals,Footwear,162.57,Florida,L,Red,Fall,3.9,Yes,Venmo,Express,No,No,39,Weekly
119,63,Female,Dress,Clothing,114.63,Arizona,L,Brown,Spring,2.8,Yes,Credit Card,Next Day Air,No,No,29,Every 3 Months
120,67,Male,Scarf,Accessories,158.2,New York,L,Gray,Spring,4.6,No,PayPal,Express,No,No,10,Monthly
121,51,Female,Sandals,Footwear,172.27,Illinois,S,Orange,Fall,2.8,Yes,Venmo,Standard,No,No,32,Every 3 Months
122,57,Female,Boots,Footwear,171.66,Michigan,XS,Red,Spring,2.6,No,Venmo,Free Shipping,Yes,Yes,49,Annually
123,49,Female,Parka,Outerwear,135.54,Illinois,L,Black,Winter,3.2,Yes,Credit Card,Express,No,No,28,Quarterly
124,56,Male,Raincoat,Outerwear,76.26,Oregon,M,Yellow,Winter,2.8,Yes,Venmo,Standard,Yes,Yes,29,Weekly
125,24,Male,Jewelry,Accessories,72.24,Ohio,XL,Purple,Summer,4.9,No,PayPal,2-Day Shipping,Yes,No,12,Bi-Weekly
126,74,Female,Parka,Outerwear,109.53,Texas,L,Gray,Winter,4.9,Yes,PayPal,Standard,No,No,3,Monthly
127,59,Female,Parka,Outerwear,71.43,California,XS,Purple,Summer,4.7,No,Cash,Free Shipping,No,No,2,Quarterly
128,41,Female,Skirt,Clothing,33.24,North Carolina,L,Gray,Fall,4.6,No,Venmo,Standard,No,No,8,Weekly
129,39,Female,Raincoat,Outerwear,155.89,Florida,XL,Gray,Winter,3.8,Yes,Debit Card,Store Pickup,No,No,21,Quarterly
130,50,Male,Jacket,Outerwear,79.03,Michigan,M,Green,Winter,5.0,No,PayPal,2-Day Shipping,No,No,21,Annually
131,48,Male,Parka,Outerwear,86.3,Washington,XS,Purple,Fall,4.5,No,Bank Transfer,Store Pickup,No,No,1,Annually
132,68,Male,Raincoat,Outerwear,149.85,Michigan,L,Green,Winter,2.9,No,Credit Card,2-Day Shipping,No,No,44,Weekly
133,44,Male,Sneakers,Footwear,94.33,Florida,L,Gray,Winter,4.7,No,Credit Card,Store Pickup,No,No,8,Annually
134,48,Female,Sandals,Footwear,76.48,New York,L,Gray,Fall,3.9,No,Bank Transfer,Store Pickup,No,No,41,Every 3 Months
135,33,Female,Jewelry,Accessories,120.46,Florida,M,White,Summer,4.2,No,Cash,Free Shipping,Yes,Yes,50,Every 3 Months
136,61,Female,Sunglasses,Accessories,181.24,Ohio,M,Green,Fall,2.6,No,Credit Card,Free Shipping,Yes,No,41,Monthly
137,52,Female,Jacket,Outerwear,187.94,Oregon,M,Green,Spring,4.0,No,Debit Card,Standard,Yes,Yes,33,Bi-Weekly
138,39,Female,Sneakers,Footwear,38.1,Arizona,S,Red,Summer,3.5,No,Cash,Next Day Air,Yes,Yes,48,Monthly
139,67,Male,Sunglasses,Accessories,137.41,Florida,XL,Red,Summer,3.5,No,Credit Card,Next Day Air,No,No,50,Quarterly
140,18,Female,Sandals,Footwear,122.23,Texas,M,White,Winter,5.0,No,Cash,Express,No,No,32,Quarterly
141,39,Male,Gloves,Accessories,151.6,Washington,M,Green,Spring,4.3,No,Venmo,Store Pickup,No,No,48,Bi-Weekly
142,50,Female,Loafers,Footwear,35.61,Washington,XS,Green,Summer,3.7,No,Credit Card,Free Shipping,No,No,24,Bi-Weekly
143,37,Male,Raincoat,Outerwear,67.08,Pennsylvania,S,Red,Spring,3.7,Yes,Bank Transfer,2-Day Shipping,No,No,45,Monthly
144,32,Male,Dress,Clothing,192.32,Georgia,S,Pink,Fall,3.5,No,Cash,2-Day Shipping,No,No,42,Bi-Weekly
145,51,Female,Sneakers,Footwear,34.06,Michigan,XS,Red,Summer,3.9,Yes,PayPal,2-Day Shipping,No,No,28,Weekly
146,50,Female,Loafers,Footwear,165.56,Georgia,S,Gray,Winter,3.6,Yes,Cash,Store Pickup,Yes,No,46,Weekly
147,65,Male,Raincoat,Outerwear,124.1,California,L,Yellow,Spring,3.9,Yes,Credit Card,Next Day Air,No,No,2,Monthly
148,67,Female,Jacket,Outerwear,87.4,Colorado,L,Pink,Winter,3.4,No,Bank Transfer,2-Day Shipping,No,No,8,Every 3 Months
149,52,Female,Belt,Accessories,115.19,Oregon,S,Red,Spring,4.9,No,Bank Transfer,2-Day Shipping,Yes,Yes,24,Bi-Weekly
150,35,Male,Loafers,Footwear,188.73,Oregon,XS,Red,Winter,4.0,No,Credit Card,Express,Yes,Yes,6,Annually
151,63,Male,Pants,Clothing,64.05,California,L,Pink,Summer,3.8,No,Credit Card,Express,No,No,32,Monthly
152,67,Female,Sandals,Footwear,62.64,Colorado,S,Orange,Summer,3.5,Yes,Venmo,2-Day Shipping,No,No,47,Bi-Weekly
153,40,Female,Parka,Outerwear,161.44,Pennsylvania,L,Purple,Summer,3.2,Yes,Venmo,Next Day Air,No,No,15,Bi-Weekly
154,21,Female,Scarf,Accessories,194.2,North Carolina,XL,Green,Winter,3.1,Yes,Bank Transfer,Standard,No,No,28,Monthly
155,30,Male,Hoodie,Clothing,68.32,Washington,XL,Brown,Spring,4.7,Yes,Venmo,Store Pickup,No,No,42,Annually
156,39,Female,Loafers,Footwear,192.26,California,S,Black,Spring,4.4,No,Debit Card,Store Pickup,Yes,Yes,13,Quarterly
157,42,Female,Sandals,Footwear,116.06,Pennsylvania,M,White,Fall,3.8,No,Credit Card,Store Pickup,No,No,30,Monthly
158,20,Male,Sandals,Footwear,153.43,California,M,Gray,Winter,3.2,Yes,Debit Card,Next Day Air,Yes,Yes,15,Quarterly
159,49,Female,Sunglasses,Accessories,102.95,Oregon,M,Green,Summer,4.3,No,Venmo,Store Pickup,No,No,3,Annually
160,60,Male,Sweater,Clothing,157.58,Ohio,S,Orange,Summer,2.7,Yes,Debit Card,2-Day Shipping,No,No,29,Monthly
161,57,Female,Skirt,Clothing,138.67,California,XS,Gray,Winter,2.5,No,PayPal,2-Day Shipping,No,No,18,Weekly
162,24,Male,Jacket,Outerwear,63.37,Michigan,XL,White,Fall,3.2,Yes,PayPal,Next Day Air,Yes,Yes,15,Every 3 Months
163,72,Male,Sandals,Footwear,137.67,Massachusetts,XS,Blue,Winter,3.4,No,Credit Card,Store Pickup,No,No,0,Every 3 Months
164,45,Female,Sneakers,Footwear,121.85,Massachusetts,XS,Gray,Spring,3.1,No,Bank Transfer,2-Day Shipping,No,No,30,Monthly
165,35,Male,Sweater,Clothing,52.28,Massachusetts,M,Red,Summer,4.0,No,Bank Transfer,Next Day Air,No,No,4,Monthly
166,72,Female,Boots,Footwear,141.87,North Carolina,M,Purple,Summer,4.5,No,Credit Card,2-Day Shipping,No,No,47,Monthly
167,71,Male,Sweater,Clothing,81.31,Arizona,XL,Brown,Winter,4.9,Yes,Bank Transfer,Free Shipping,No,No,50,Quarterly
168,42,Female,Jacket,Outerwear,53.43,Michigan,L,Blue,Fall,4.5,No,Credit Card,Free Shipping,No,No,9,Quarterly
169,24,Male,Loafers,Footwear,20.94,Illinois,L,Yellow,Fall,2.8,Yes,Cash,Next Day Air,Yes,Yes,32,Quarterly
170,53,Male,T-Shirt,Clothing,127.45,Arizona,M,Purple,Spring,3.2,Yes,Credit Card,Store Pickup,Yes,No,15,Annually
171,35,Female,Loafers,Footwear,68.31,New York,XS,Green,Winter,3.2,Yes,Credit Card,Free Shipping,Yes,Yes,15,Every 3 Months
172,47,Male,Parka,Outerwear,44.39,California,L,Yellow,Winter,4.5,Yes,PayPal,Next Day Air,No,No,41,Annually
173,62,Male,Sandals,Footwear,106.22,New York,L,Yellow,Fall,4.3,No,Venmo,Express,Yes,Yes,17,Quarterly
174,30,Male,Belt,Accessories,142.71,North Carolina,XS,Pink,Summer,3.6,Yes,Bank Transfer,Standard,No,No,50,Quarterly
175,33,Female,Jacket,Outerwear,138.56,Oregon,L,Purple,Spring,3.6,No,Venmo,Next Day Air,No,No,34,Annually
176,41,Male,Parka,Outerwear,39.69,Florida,M,Green,Spring,3.9,No,Bank Transfer,Next Day Air,Yes,No,21,Quarterly
177,32,Male,T-Shirt,Clothing,100.24,Ohio,L,Orange,Summer,3.4,Yes,Credit Card,Free Shipping,Yes,Yes,5,Weekly
178,47,Male,Sandals,Footwear,113.8,Pennsylvania,L,Blue,Winter,4.3,No,Credit Card,Free Shipping,Yes,Yes,45,Weekly
179,61,Male,Coat,Clothing,187.39,Oregon,S,Gray,Summer,3.9,Yes,Cash,Next Day Air,No,No,14,Quarterly
180,45,Female,Boots,Footwear,25.25,Michigan,S,Pink,Winter,3.5,No,Debit Card,Free Shipping,No,No,48,Every 3 Months
181,73,Male,Skirt,Clothing,85.84,Florida,L,Blue,Fall,4.2,No,Bank Transfer,Free Shipping,Yes,Yes,39,Quarterly
182,47,Male,Coat,Clothing,166.47,Oregon,M,Brown,Spring,4.2,Yes,Debit Card,Free Shipping,No,No,7,Bi-Weekly
183,44,Male,Scarf,Accessories,123.47,Ohio,S,Pink,Summer,3.9,No,Debit Card,Express,No,No,20,Quarterly
184,49,Male,Coat,Clothing,55.12,Ohio,XL,Gray,Winter,3.5,No,Bank Transfer,Next Day Air,No,No,31,Bi-Weekly
185,66,Male,Skirt,Clothing,72.58,Illinois,S,Gray,Fall,2.9,No,Bank Transfer,Next Day Air,Yes,Yes,7,Annually
186,70,Female,Dress,Clothing,117.57,Arizona,XS,Pink,Summer,5.0,Yes,Bank Transfer,Express,No,No,19,Weekly
187,70,Male,Raincoat,Outerwear,99.03,Texas,S,Black,Fall,4.7,No,Cash,Express,Yes,Yes,50,Bi-Weekly
188,52,Female,Sneakers,Footwear,127.43,New York,M,White,Fall,3.9,No,Venmo,Store Pickup,No,No,6,Bi-Weekly
189,73,Male,Jacket,Outerwear,146.26,New York,S,Green,Fall,4.6,No,Bank Transfer,Next Day Air,No,No,31,Bi-Weekly
190,22,Male,Backpack,Accessories,92.51,Oregon,M,Yellow,Winter,4.9,Yes,Credit Card,Store Pickup,No,No,5,Every 3 Months
191,40,Male,Parka,Outerwear,163.22,Ohio,S,Purple,Summer,3.7,Yes,PayPal,Free Shipping,No,No,35,Annually
192,75,Male,Loafers,Footwear,28.27,Washington,L,Red,Spring,4.8,Yes,Cash,Standard,No,No,27,Bi-Weekly
193,74,Female,Sandals,Footwear,36.8,Pennsylvania,M,Blue,Fall,4.2,No,Credit Card,Next Day Air,Yes,Yes,46,Every 3 Months
194,63,Male,Loafers,Footwear,20.2,Georgia,XS,Green,Summer,3.8,No,Credit Card,Store Pickup,No,No,21,Weekly
195,22,Male,Parka,Outerwear,88.95,Oregon,XS,Blue,Fall,3.4,Yes,Cash,Express,Yes,Yes,43,Bi-Weekly
196,57,Male,Hoodie,Clothing,99.22,Oregon,S,Orange,Summer,4.8,No,Cash,Express,No,No,5,Weekly
197,42,Female,Sneakers,Footwear,193.38,Pennsylvania,S,Black,Fall,4.1,Yes,Venmo,2-Day Shipping,No,No,46,Annually
198,60,Female,Hat,Accessories,56.98,Michigan,XL,Black,Winter,3.2,Yes,Debit Card,Next Day Air,No,No,24,Weekly
199,22,Male,Loafers,Footwear,197.64,Colorado,M,Green,Winter,4.7,No,PayPal,2-Day Shipping,No,No,43,Bi-Weekly
200,22,Male,Jacket,Outerwear,67.19,California,XS,Purple,Fall,4.1,No,Cash,Next Day Air,Yes,No,5,Every 3 Months
201,23,Male,Sandals,Footwear,195.38,New York,XL,Yellow,Winter,4.0,No,Bank Transfer,Store Pickup,Yes,Yes,19,Every 3 Months
